,Team,Article URL,Article Title,Text
0,raiders,https://www.espn.com/blog/las-vegas-raiders,Jon Gruden: Raiders have little time to savor win with rested Chiefs next,"Chiefs coach Andy Reid addresses the Raiders' victory lap around Arrowhead after last meeting. (0:57)HENDERSON, Nev. -- Jon Gruden's post-victory media conference after his Las Vegas Raiders defeated the Denver Broncos on Sunday was all of 75 seconds old when he put a damper on things.Picture downtrodden Chucky with a frown and a wet blanket, rather than maniacal Chucky with a grin and a blade.""Well, it is satisfying,"" Gruden said after dropping 37 points on the Broncos while picking off four passes, racking up two sacks, forcing a fumble and limiting Denver to zero yards in the third quarter of a 37-12 win that improved the Raiders to 6-3, 3-0 in the AFC West.And yet ...Best of NFL Nation• Lamar, Ravens in offensive free fall
• Bolts' Herbert learning life's lessons
• Colts in driver's seat for playoff spot
• Rams' Williams amid NFL's top corners?
• Can Packers' MVS find consistency?
• Lamar, Ravens in offensive free fall
• Bolts' Herbert learning life's lessons
• Colts in driver's seat for playoff spot
• Rams' Williams amid NFL's top corners?
• Can Packers' MVS find consistency?""But we don't have much time to celebrate,"" Gruden added. ""As you know, we have to play the Chiefs this week.""Ah yes, the defending Super Bowl champions. A juggernaut that has lost all of one game in the last calendar year. And, of course, that defeat came at the hands of (to quote Gruden), as you know, Gruden's Raiders.Back on Oct. 11. At Arrowhead Stadium. Which was followed, to quote Gruden again, as you know, by a victory lap around the stadium by the team bus. Much to Chiefs coach Andy Reid's chagrin.""They won the game, so they can do anything they want to do,"" an irritated Reid said Monday. ""That's not our style.""Gruden was amused.""I mean, you can find a smart-aleck bus driver in Kansas City who made some snide comments when we got on the bus,"" Gruden said Monday. ""Maybe that's why we drove around the stadium -- to tick him off. You know, this is ridiculous. Next question.""Gruden was still smiling, though.Raiders-Chiefs week is always a big deal in Raider Nation and Chiefs Kingdom, even if one team is dominating the series, as Kansas City has since Reid landed as Chiefs coach in 2013.Since then, the Chiefs have won 12 of 15 meetings.But when you break it down further, a strange scheduling quirk reveals itself -- this will be the fourth time in five seasons, the third year in a row, that Kansas City will face the Raiders as the Chiefs come off their bye week.""I'm sure that's just a coincidence,"" a now irritated Gruden said, his tongue pressed firmly in cheek. ""You know, I'm sure it's a coincidence.""A four-second pregnant pause ensued.""I don't think about it,"" Gruden continued. ""The schedule is the schedule. You've got to adapt to it and that's what we'll do.""Consider: in the previous three meetings between the teams that have followed Kansas City's bye, the Chiefs are 3-0 and have outscored the Raiders by a combined 106-52, or by an average score of 35-17.Ouch.The last two such meetings, in 2018 and 2019, have occurred in Week 13, in Oakland and then in Kansas City.This one, obviously, is different in that it will go down in Las Vegas. And the Raiders are essentially playing with house money, with a win over the Chiefs in hand and an eye on a potential playoff spot.""Always excited to win,"" said Raiders quarterback Derek Carr, who got one monkey off his back with his first victory at Arrowhead Stadium in seven tries.""[Being] 6-3 and 3-0 in the division is a big deal. The division still goes through Kansas City.""Who's trending up and who has a ways to go? NFL Nation reporters provide a progress report on all 255 drafted players and more. Story »As it did in 2016, the last time the Raiders had a winning record and went to the playoffs. Both the Raiders and Chiefs were 12-4 but Kansas City won the division by virtue of its season sweep of the Raiders. And, ahem, as you know, the first meeting that year came after a Chiefs bye, in Week 5, when Kansas City entered that game 2-2.Coincidence? Meh. It does not matter. Not when the Chiefs are living rent-free in Las Vegas' head.For this week at least.""Jeff [Heath] made a big play that ignited us against the Chiefs,"" Gruden said, comparing Heath's two first-half interceptions against Denver to his fourth-quarter pick of Patrick Mahomes in the Raiders' 40-32 win at Kansas City last month. ""And boy, we're going to need him next week because we have a great team coming to town.""You have a lot of respect for how hard it is to win in this league and you try to enjoy it for a couple hours and then you have to get up early and get ready for the next one. And this is a big one, obviously.""As you know."
1,chiefs,https://www.espn.com/blog/kansas-city-chiefs,Why Chiefs' Patrick Mahomes-to-Travis Kelce connection is the best of its time,"Patrick Mahomes is announced as a member of the elite Madden 99 club for the second straight year. (0:55)KANSAS CITY, Mo. -- The margin for error was already slim in the second quarter of last season's divisional round playoff game against the Houston Texans, so it's no coincidence quarterback Patrick Mahomes went looking for tight end Travis Kelce to rally the Kansas City Chiefs.Using their backyard brand of football, Mahomes threw three touchdown passes to Kelce in the quarter as the Chiefs overcame a 24-point deficit to lead by halftime and eventually win the game. It's just one example of what makes Mahomes and Kelce -- teammates on the field and friends off it -- the best pass-catch combination of their time.Against the Texans in January, the chemistry was obvious. On third-and-goal from the Houston 6 with the Chiefs down 10, Kelce took his route as planned toward the right sideline. But he saw an open pocket in the Texans' coverage back toward the middle of the field. That's where Kelce headed and it was exactly where Mahomes wanted him.ONE. POSSESSION. GAME. pic.twitter.com/nAuEFXmJmQThe improvised route resulted in a touchdown and left the Chiefs one score away from overtaking the Texans. They did so minutes later on another Mahomes-to-Kelce pass.""His understanding of coverages and how he runs routes is special,"" Mahomes said of Kelce. ""I think that's the best thing about his game. Obviously, he's physically gifted and he's a mismatch for guys on the field -- linebackers, corners, whoever it is.""But the way that he's able to run routes versus coverages and adjust his routes to be right in the right spot at the right time is special. It's something that helps me out a ton. ... It's stuff that not everybody understands. I think it's just him thinking like a quarterback and understanding the whole concept of the play by getting other people open and getting himself open when he needs to get open.""Over the past three seasons, Mahomes and Kelce have connected on 25 touchdown passes. That's by far the most for a quarterback and tight end during that span and puts them in the company of other greats of the past decade. Tom Brady and Rob Gronkowski had 25 with the Patriots from 2015 through 2017, and Drew Brees and Jimmy Graham had 26 for the Saints from 2013 through 2015.Mahomes and Kelce have plenty of time to pass them this season, beginning Sunday night against the Las Vegas Raiders (8:20 p.m. ET, NBC). Frustrated opponents seem to have no doubt that they will.""They definitely have karma between them,"" said Denver coach Vic Fangio, who watched Kelce catch 11 Mahomes passes for 142 yards in the snow against the Broncos last season. ""They can ad-lib the routes, and both of them are on the same page when they're doing that.""He's a really tough guy to cover. He's got size. He's got great route-running instincts, when to pivot and when not to pivot, when to stay with the exact route. Obviously Mahomes is very comfortable throwing it to him because he's a big guy, and a lot of times he's on a [defensive back] so he outsizes him, but yet he runs really good routes.""A post shared by Patrick Mahomes II (@patrickmahomes)Fangio calls it karma. Others might refer to it as chemistry. It could be enhanced by the fact the two are friends off the field. They've attended sporting events such as the Final Four together. Following their Super Bowl LIV victory parade the pair showed up together at a Post Malone concert. They participated together over the summer in the American Century Celebrity Golf Tournament at Lake Tahoe. It was Kelce who presented Mahomes with his Madden NFL 2020 ""99 chain"" signifying his perfect rating in the video game.Unusual is the play where Mahomes and Kelce don't see the same thing. One example of their synchronization is the playoff touchdown against the Texans.Another is the first quarter of the Week 6 game this season against the Buffalo Bills. With the Chiefs at the Bills' 11, Kelce found an open spot in the defense after leading a defender one way and then cutting back the other. Mahomes held the ball until Kelce could get there.Trav gets us the lead 🏹📲 https://t.co/yU4jLvie5Y pic.twitter.com/5YAwwmgHcsThe play got the attention of ESPN analyst Dan Orlovsky as he watched the game.""I don't know this, and this is something of an assumption from me, but I would imagine both of those kids had very unrestrictive parents, meaning their parents just let them go play in the yard,"" Orlovsky said. ""They didn't need private coaching on how to run a 40 or private coaching on how to throw. They kind of acquired their skill sets from playing tag in the yard or out in the street.""This is something that's directly tied to their experiences as youths. I totally believe in that. They both have outstanding spatial awareness. They both feel color more than they feel people. Blurs are very slow for them. Me? I see a blur and I'm stunned by it. Them? They see blurs and it moves much slower for them. They're very not-structured. That touchdown is the perfect example of it. ... They have the same kind of skills when it comes to that.""Kelce is the first NFL tight end to have four straight 1,000-yard seasons and needs 231 yards over the Chiefs' final seven games to get a fifth. At the rate he's going, Kelce will get to 1,000 yards in three more games.Relive the NFL's greatest games, original series and more. Watch on ESPN+Kelce played quarterback in high school and some as a freshman in college at the University of Cincinnati. He said that experience helps him decipher coverages.""I see the coverage, see what they're in and ... I know where the ball is going to go,"" Kelce said. ""The biggest thing in terms of route running for me is knowing what the defense is in, knowing the coverage. Once you know the coverage, now you can start manipulating the defense. You can start to try to trick them in where you want to go and where you want to get open.""Kelce played hockey and basketball when he was younger and indicated some of the skills he picked up transfer to football. In particular, Kelce changes directions easily for a 260-pound player.""Just putting my foot in the ground and being able to get a big body to change direction, I think that's huge,"" he said. ""I don't think a lot of tight ends incorporate that enough.""I got a lot of that from playing hockey when I was younger, being able to play on the inside and outside of skates, as well as just being on the basketball court being able to put my foot into the ground and cross over. ... Just being able to incorporate other sports into my game has definitely helped me out.""The result is usually ugly for the Chiefs when Mahomes and Kelce have the unusual play where things go wrong between them. Mahomes' only interception of the season came on a pass intended for Kelce in the Chiefs' only loss, in Week 5 against the Raiders.After the game, Mahomes without naming any specific receivers said the Chiefs needed to ""just execute the offense the way that it's called and the way it's supposed to be [executed].""I HAVE TO BE BETTER!! For my teammates and coaches.... this loss is on me... and the only way to fix it is to go to work ASAP!!Kelce took blame for the loss on Twitter.""I still get frustrated watching that film,"" Kelce said recently. ""Later in the game, I got a little frustrated trying to make more out of a play than what it was. I was running routes that weren't called, and I screwed the team doing it. Stuff that you won't see on film, that you won't see on the stats but something that I took personally. It was just me being frustrated and trying to be there for my quarterback doing the right things, which I wasn't doing. I've just got to play within the system and run the plays that are called.""We have a lot of freedom in this offense to try to kind of go out there and make plays. It's had its history of having success. Sometimes it works but at that point in the game there was no leeway. I couldn't do that, and I screwed the team because of it.""That type of thing doesn't happen often between Mahomes and Kelce, particularly in the red zone. Mahomes has completed nine of 12 passes with six touchdowns when targeting Kelce in the red zone this season. It's one reason Kelce, who has six touchdowns, could break his career high of 10, set in 2018.""They have a great system that's designed to get the ball to the tight end,"" Carolina coach Matt Rhule said before the Panthers' game against the Chiefs. ""If you go all the way back to [coach] Andy [Reid's] time in Philadelphia, the tight end has always been a huge part of that offense.• Lamar, Ravens in offensive free fall
• Bolts' Herbert learning life's lessons
• Colts in driver's seat for playoff spot
• Rams' Williams amid NFL's top corners?
• Can Packers' MVS find consistency?""The coaches have done a great job of incorporating multiple ways to get the ball to the tight end. [Kelce and Mahomes] just do it really well.""Reid had some good pass-catchers at tight end during his 14 seasons with the Eagles, but Kelce was his first 1,000-yard receiver at the position. And Kelce's numbers are better since Mahomes became the starting quarterback in 2018. His two best seasons in terms of catches and yards are the two full seasons with Mahomes and this season could wind up as the best of them all.While Mahomes has been good for Kelce, it's just as true the tight end has been good for the quarterback.""Obviously, I'm a big fan of Pat's,"" Kelce said. ""I think he's the best player in the National Football League. You can't tell me there's a better quarterback than him, that's for sure.""When Pat got into the huddle, it was just a little bit different. I think he brought a different energy, different style to the game that even I was a little more accustomed to, just going out and playing ball in the backyard type of football. As he progresses, as he starts to learn more about defenses and gets into the defensive coordinators' minds, his game is just going to keep going up and up until probably something that we've never seen before -- if what he's doing already isn't something that we've never seen before. It's a fun time to be a Kansas City Chief, and it's because 15 is in the building, for sure."""
2,bears,https://www.espn.com/blog/chicago-bears,Wilbon has an interesting idea for Epstein's next job,"Chicago native Michael Wilbon says Theo Epstein should take over the Bears, saying he could do a better job than the people in charge now. (1:21)"
3,packers,https://www.espn.com/blog/green-bay-packers,A new Packers' Marquez Valdes-Scantling or same old MVS?: Only time will tell,"GREEN BAY, Wis. -- It's not Marquez Valdes-Scantling's career-high 149-yard game on Sunday that will convince Green Bay Packers coach Matt LaFleur and quarterback Aaron Rodgers that things are different this time for the third-year receiver.Although it's a start.It's what happens Sunday against the Indianapolis Colts -- and beyond -- that's just as critical.Best of NFL Nation• Lamar, Ravens in offensive free fall
• Bolts' Herbert learning life's lessons
• Colts in driver's seat for playoff spot
• Rams' Williams amid NFL's top corners?
• Can Packers' MVS find consistency?
• Lamar, Ravens in offensive free fall
• Bolts' Herbert learning life's lessons
• Colts in driver's seat for playoff spot
• Rams' Williams amid NFL's top corners?
• Can Packers' MVS find consistency?They've seen this before. A seemingly breakout game only to regress to -- or below -- the mean. The ghosts are there: one catch for 4 yards last October a week after a 133-yard game or one catch for 19 yards two weeks after a 99-yard game in September.This time, LaFleur and Rodgers have reason to believe it will be different.Or at least legitimate hope.The deep ball, including Sunday's 78-yard touchdown in the 24-20 win over the Jaguars, is one thing: With his 4.37-speed, he has five touchdowns of at least 40 yards since the start of the 2019 season to rank tied for third-most in the NFL in that span. But it was his other three catches on Sunday that resonated with the coach and quarterback.""It starts with the deep threat,"" Rodgers said after the game. ""We need to keep finding ways to get him other routes. I think the growth we're going to see from him is where he becomes more than just a one-dimensional guy. But I will say there are a couple plays that I really, really liked today from him.""They looked like this:Third-and-6 at their own 23-yard line in the second quarter, and Rodgers has to buy time by moving to his right. Valdes-Scantling follows him and finds an opening for a body catch and a 22-yard gain on a drive that leads to a touchdown.With Davante Adams getting checked out for an ankle injury in the third quarter, Valdes-Scantling does his best Adams impersonation by turning a shallow cross on a designed rollout -- what LaFleur calls a ""keeper"" -- and turning it upfield for a 31-yard catch and run.From the slot left and with Adams to the outside, Valdes-Scantling takes a bubble screen and turns it into a tackle-breaking 18-yard pickup on a fourth-quarter scoring drive.""He was flying off the ball on the keeper, on that low cross, and Aaron threw a great ball to him and, shoot, I think we got 30-some yards,"" LaFleur said. ""That's rare, and that's a credit to his speed and attacking it and catching the ball with his hands.""I think the most impressive play from a receiving standpoint was the bubble we threw him on the go-ahead scoring drive. Just the finish that he showed with two defenders closing in on him, his ability to split those guys and pick up extra yardage, I thought that was big time of him.""All that after a two-touchdown game (his only two catches) in the previous week's win over the 49ers.Progress for sure, but can he fix his inconsistency (and his drops) or will the Packers just have to live with it?Even after the last two games, Valdes-Scantling still ranks 152nd among 153 qualified receivers in catch percentage (50%), according to ESPN Stats & information. He was below 50% until he caught four of his six targets against the Jaguars. He ranks second among those receivers in drops (five).Still, Rodgers has continually talked him up this year. Only he knows if that's real trust or just a quarterback trying to boost his mercurial receiver's confidence. With Allen Lazard expected to come off injured reserve this week and likely return to his role as WR2, it could mean fewer chances for Valdes-Scantling if he doesn't continue to deliver.But know this: Rodgers had enough faith to listen to him right before the deep ball touchdown on Sunday.""The previous play we had thrown a quick out route to Davante and I had run a go route on the previous play and saw that I could get behind [Jaguars cornerback Sidney Jones],"" Valdes-Scantling said. ""He wasn't really respecting deep, so I went back to the huddle and told Aaron that I can get by him. The next play we went out and threw a go ball."""
4,cowboys,https://www.espn.com/blog/dallas-cowboys,Dallas Cowboys staffers using bubble to battle COVID-19,"FRISCO, Texas -- As the country experiences a surge in COVID-19 cases, the Dallas Cowboys are going above the NFL's intensive protocols by having staff members who are in direct contact with the players go into a bubble similar to the one the team employed during training camp.Speaking on 105.3 The Fan in Dallas, owner and general manager Jerry Jones said, ""Everybody's emphasizing, 'Don't let your guard down.'"" The team is stepping up its isolation by having coaches and staff stay at the Omni Hotel at The Star, according to multiple sources.""We're going in a more intense way, and we're having our coaches restrict their activities away from the field and restrict their contacts away from the field,"" Jones told the team's flagship network. ""We're having all staff that touch a player do that. That's in addition to what the NFL is doing.""The Cowboys moved into intensive protocols last week during their bye week after a Pittsburgh Steelers player tested positive after their game against Dallas. The Cowboys did not have an in-person practice last week but held a virtual meeting.They returned to The Star on Monday for meetings and a walk-through and will continue for the week, according to coach Mike McCarthy. Because of the size of The Star with the 12,000-seat Ford Center, the Cowboys have the room to spread out meetings to remain socially distanced.In training camp, players stayed at the Omni, creating their own version of a bubble. Due to the collective bargaining agreement, teams can't mandate that players stay at a hotel during the regular season. Jones said he was not sure if the league would move to a bubble format for the playoffs, similar to the NBA, NHL and Major League Baseball.""Don't let your guard down because tomorrow all of that could change,"" Jones said. ""And that's a fact. Don't let me think for one second we've got the key to how to not have this COVID outbreak. We don't. But the things we're doing are working here.""Jones said he assumes anybody he comes in contact with has the coronavirus, and he wears two masks. He also said he would take the vaccine when it becomes available.Yet Jones is not at the point where he will cut back attendance at AT&T Stadium. In five games, the Cowboys have had 128,750 fans, averaging 25,750 per game as the team follows guidelines set forth by the state, the NFL and the Centers for Disease Control and Prevention.Jones said his plan was to increase fans as the season went on. The Cowboys had 31,700 attend the Pittsburgh game.""I'm very proud of the fact that we do it safely, we do it smartly,"" Jones said. ""Our fans are really helpful, to say the very least, in playing in front of those fans. I see a continued aggressive approach to having fans out there. We'll see. That's not being insensitive to the fact that we've got our COVID and an outbreak. Some say maybe it is, but not when we're doing it as safe as we are, and not when you're having the results we are. Literally, we have had no one report that they've had any contact with COVID from coming to our game. No one."""
5,eagles,https://www.espn.com/blog/philadelphia-eagles,When will Zach Ertz play again this season?,"Stephania Bell reports on Zach Ertz being designated to return from IR, and Field Yates and Matthew Berry break down what this means for Ertz and the Eagles. (1:04)"
0,packers,https://www.acmepackingcompany.com/packers-jaguars-week-10-2020,2020 WEEK 10: PACKERS VS. JAGUARS,"Filed under:Forget about injuries or chilly weather, Matt LaFleur’s team played lifeless football against an inferior opponent for the second straight home game. The Packers did enough against the Jaguars, but only barely.The Packers’ primary return and jet motion man will not return today.See if the Packers can close out the Jaguars in the second half.Green Bay’s deep threat gave the team a jolt after a listless first quarter against the Jaguars.Join APC as we follow along with the Packers hosting the Jaguars on Sunday afternoon.The Packers are down their top two cornerbacks, but tight end Robert Tonyan will play.Check here to see where and when to tune in for Sunday’s game at Lambeau.David Bakhtiari is back just in time to face a terrible defense. A possible mauling could ensue.The Packers’ secondary may be in a tough position on Sunday.The Packers are getting their top offensive lineman back for Sunday’s gamePart 2 of our chat with Big Cat Country turns to the defense. What should we expect?The Packers seem to be on track to have two of their best players back in the lineup.Green Bay are favorites by almost two touchdowns this Sunday against the 1-7 Jaguars. Is that enough?We catch up with Big Cat Country ahead of the Packers’ Week 10 matchup with the Jacksonville Jaguars.Shared from:Check out this week’s Q&A with BCC here, and stay tuned for APC’s questions and their answers coming soon.It looks like the Packers’ starting line will be back together in time for week 10.Gardner Minshew’s backup and a fellow 6th-round draft pick likely starts on Sunday at Lambeau Field.Ranked by the most comments received over the last 24 hours.The organization announced that they will continue playing in front of an empty stadium for at least the next home game."
1,packers,https://www.acmepackingcompany.com/2020/11/15/21566405/packers-have-signed-lt-david-bakhtiari-to-4-year-contract-extension-per-report#comments,"Packers have signed LT David Bakhtiari to 4-year contract extension, per report","FILED UNDER:The All-Pro will remain in green and gold for another four years.While the Green Bay Packers are clinging to a narrow fourth-quarter lead over the Jacksonville Jaguars, news has broken that the team is keeping one of its most critical players on a new long-term contract. Left tackle David Bakhtiari was scheduled to become a free agent after this season, but according to Pro Football Talk, he signed a new four-year contract extension overnight before Sunday’s game.This move locks up the left side of the Packers’ line for the foreseeable future and gives Bakhtiari financial security heading into his age-30 season in 2021. Ian Rapoport of NFL Network reports that the contract has about $23 million per year in new money on the new deal, which will lock him in through the 2024 season.Bakhtiari finally earned first-team All-Pro honors in 2018 after consistently being one of the best pass-blockers in the NFL for several years. Along with second-year pro Elgton Jenkins at guard, the Packers have one of the finest left sides of the offensive line in the league. Bakhtiari returned to the field on Sunday for the game against Jacksonville after missing three games with a chest injury.This also marks the second time that Bakhtiari has signed a contract extension before a game against the Jaguars. He signed his first big deal just before week one of the 2016 season, when Green Bay traveled to Jacksonville for the season opener.The Packers were set to have two starting offensive linemen hitting free agency next spring, with center Corey Linsley joining Bakhtiari in needing a new contract. With the NFL’s salary cap seemingly set to drop significantly in 2021 due to COVID-19, the Packers will likely find it difficult to pay both of these players for next season and beyond, so this could spell the end for Linsley in Green Bay.Stay tuned for more information about Bakhtiari’s contract moving forward."
2,packers,https://www.acmepackingcompany.com/2020/11/15/21566132/packers-jaguars-week-10-win-24-20-mvs-aaron-rodgers-energy-mattt-lafleur,"Packers start cold & never warm up, but still hold off the spunky Jaguars for a 24-20 win","FILED UNDER:Forget about injuries or chilly weather, Matt LaFleur’s team played lifeless football against an inferior opponent for the second straight home game. The Packers did enough against the Jaguars, but only barely.On a windy, raw, bone-chilling day at Lambeau Field, the color that stood out wasn’t the turquoise details on the Jacksonville Jaguars jerseys, with the AFC South squad making a rare trip to Green Bay. It was blaze orange, or rather, the lack of it, as the aluminum stands rattled empty despite the fans’ beloved Packers making a Super Bowl push. Two weeks after Aaron Rodgers called out his team’s lack of energy at home in the cold against the Vikings, noting the inability to feed off the crowd, his squad once again came out flat on a cold day against a team on a seven-game losing streak.At least the fans have an excuse for not showing up, with Wisconsin COVID cases surging and the Packers avoiding adding to the spread on game day. Green Bay held on for a 24-20 victory, but it took a 4th-and-26 stop with just over a minute left to preserve a win that came much harder fought than most predicted.And it started right away. Not only did the Packers not score on the first drive of the game, something they’ve done in every game this season, but the Jaguars forced a three-and-out, despite coming into the game last in passing and total defense by DVOA. The Jaguars out-gained the Packers in the first quarter despite being minus-40 in first quarter point differential this season, a worrying harbinger of things to come.Two turnovers and a 91-yard punt return touchdown by Keelan Cole, the longest in Jaguars history, kept the 1-7 Jags in a game where they were out-gained 395-260 and dominated in yards per play 6.6 to 4.3. The sloppy turnovers, a fumble by Davante Adams and a stupefying interception by Rodgers, embodied the lack of intensity and focus by the Packers. They sleep-walked to a play-to-play domination of Jacksonville, but the Jags played harder, tackled with more ferocity, and made every borderline play.Marquez Valdes-Scantling’s finest game as a Packer stood between the Jaguars and victory. His 78-yard bomb in the second quarter gave Green Bay its first lead and with Davante Adams hobbling in the second half, MVS came through with big catches for chunk yards, in all 149 yards on just 4 catches, all momentous in their own right.His play buoyed a run game the Packers couldn’t get going against a below average run defense. The Packers consistently win in the trenches this season and while they kept Rodgers clean to toss for 325 yards a 2 touchdowns, the run game sputtered for 80 yards on 30 carries.The play of MVS and a bit of history were the lone bright spots on a day that was otherwise just spotty. Davante Adams passed Don Hutson for 5th on the Packers all-time receptions list, while Aaron Rodgers eclipsed Warren Moon for 11th all-time in passing yards.Box scores can and often do lie, as they will for this game. Statistically, the game was only close on the scoreboard, but that’s also the place where the numbers matter most. This kind of execution won’t cut it against the better teams in the league no matter what fantasy football numbers come along with them.Winning as two touchdowns favorites wouldn’t change perception among some fans and media critics about whether or not this team can take a punch from a quality opponent. We’ll have to wait at least a week for the chance to quiet the questions when they head to Indianapolis to take on the Colts. Then again, the Jags’ only win this season came against those same Colts, a testament to the “any given Sunday” cliché and another reason not to dismiss a win, any win, as meaningless regardless of the opponent’s record.Jacksonville came out with more life, more verve, and more punch in their play. When the Packers ran receiver screens, the Jaguars defensive backs flew downhill, shook off blocks, and made tackles. When Jacksonville dialed up the same play, they’d find 10 yards. Despite coming in the worst defense in football by DVOA, Myles Jack and Co. flew around the field, relishing the big sticks and physical play in the trenches. Green Bay’s offensive line, one that has mauled just about every team it faced, played like a C-level effort would yield A results, a problem that plagued every facet of the Packers on Sunday, from coaching to offense, defense, and special teams.The cold can be no excuse, not for a team who wants to host games at Lambeau in even worse weather come January. Injuries also can’t absolve this sluggish performance, playing without Kevin King, Jaire Alexander and Allen Lazard. They’ve played much more impressive games with far bigger injury problems. This is the worst team in the league plus or minus the Jets. Banking on a playoff atmosphere or the intensity of facing a playoff caliber team walks a perilous line for the Packers. These are the kinds of games Super Bowl contenders come out and decide they want to be over by halftime.That’s not to say the Packers are pretenders, or can’t go on to win a Super Bowl, but their performance against a team who hung them them because they wanted it more speaks to effort and resolve. More to the point, Jacksonville played more disciplined football, turning it over less often and not blowing gap integrity to give up a momentous punt return. If the Packers play their best game, they beat the Jaguars by 30, but they didn’t ... so they didn’t.Green Bay hasn’t won anything as currently constituted. There’s no switch to flip. The Packers have to bring the intensity every week in ways they haven’t this season despite their record. On the other hand, they don’t play the game to cover point spreads, just to win. And whether it’s in November or January, no team will apologize for winning. In scope of the season, this game only meant something if the Packers took the L. The true test awaits in Indianapolis and whether the Packers were looking ahead to that matchup, who’s to say? All that matters is they pass that test. Their C-game won’t cut it."
3,packers,https://www.acmepackingcompany.com/by-the-numbers/2020/11/10/21559013/does-anyone-want-to-be-elite-making-sense-of-a-crowded-nfc-field-2020-playoff-picture-contenders,Does anyone want to be Elite? Making sense of a crowded NFC field,"FILED UNDER:We turn to EPA and DVOA to try to separate the contenders from the pretenders.First it was the Green Bay Packers staking their claim. In Week 3, they went down to New Orleans and came out with a victory over the Saints. Then it was the Tampa Bay Buccaneers, who curb-stomped the Packers in week 6. This past weekend, it was now New Orleans once again, who, after racking up 30 kills, called in a tactical nuke on the Tampa Bay Buccaneers. But remember, the Packers went into the Superdome and came out with a win not too long ago. Then there are the Seattle Seahawks, who had largely scraped by solely on their high powered passing attack, with narrow wins over lesser teams such as New England, Dallas, and Minnesota, until they were handed a double-digit loss by the Bills this past weekend. Then there’s the Los Angeles Rams, whose strong defense is pulling a ton of weight for a pretty average offense.So is anyone here actually great? Does anyone want the one-seed?There are quite literally endless ways to try and answer the “great” question, but, per usual, I’m gonna let some stats do the work. Before I get too deep down that rabbit hole though, it’s important to understand some key ideas. Firstly, offensive performance is more predictive than defensive performance. If you have a good offense now, it is more likely that you’ll have a good offense in the future than the same being said for defense. This is why year-over-year it is generally a good idea to fade teams who had historically great defenses the year prior (2020 Patriots, 2020 49ers, 2018 Jaguars, 2019 Bears). In order to try and account for this, you can weight offensive performance more heavily than defensive performance (you could also down-weight defense, you’d get to the same point).The two stats I’m going to use to analyze the teams are EPA/play and DVOA. For the offensive version of each of these stats, I am going to use a multiplier of 1.5x to up-weight their impact on the overall picture. The reason for that is due to the higher predictiveness of offense than defense. This 1.5x is what is used in the rbsdm tiers charts that you see floating around Twitter dot com.In the chart below, you can see how each teams stacks up by each of the statistics. (Remember that positive numbers always favor the offense, so lower numbers are better when looking at defenses.)The teams that were selected have at least a 10% chance of making the playoffs, per FiveThirtyEight.DVOA really loves Tampa Bay and also really hates Green Bay’s defense. When we chart the weighted totals for each stat, we can get a pretty clear picture of the contenders and pretenders.Teams above the line are relatively better by DVOA and teams below the line are relatively better by EPA/play. There’s really only one meaningful outlier and that is Tampa Bay, who is far better by DVOA than by EPA/play. This is largely fueled by their defense running well ahead of every other contender in the NFC. Tampa Bay has a really good defense, there is no doubt about that, but defense tends to be less stable over time, so we may see some regression there.The pretenders basket is very easy to find. Chicago, Washington, and Philadelphia are just not very good. All three have defenses that rank in the top 11 by DVOA, but all three offenses are bad. Minnesota may have dug themselves too big of a hole to come out of, but they look more like a fringy Wild Card contender than a bad team.The contender basket is pretty crowded. I’d say the top tier of teams is Tampa Bay, Los Angeles, and Green Bay. From there it is a small drop to the second tier of Seattle, Arizona, and New Orleans. The final tier of NFC contenders is San Francisco and Minnesota.There is very little separating the first two tiers though. We saw a second tier team annihilate a top tier team on Sunday. Two Sundays ago, a tier three team beat a tier one team. Football happens. Given that there are a relatively small number of possessions and NFL games are rarely decided by more than two scores, anything can happen on any given Sunday. What is clear to me from this analysis is that the NFC has no truly elite team. There is no Kansas City Chiefs in the NFC.The fact that there is a great deal of high-quality parity in the NFC makes the quest for the one-seed all the more vital. Using DVOA, the Packers have the 12th easiest schedule remaining in the NFL. The only contending teams in the NFC with easier schedules are Seattle and Washington. Seattle has some layups (Giants, Jets, and Washington), but also have to face the Rams twice, the Cardinals once, and the 49ers at the end of the season (likely after many of their players return). FiveThirtyEight actually gives the Packers the best odds of any NFC team to get the one-seed at 31%. Doing so will be vital as any advantage you can get in this crowded NFC field, and it may be the difference between a Super Bowl appearance and going home."
